BIC,Likelihood
5890016.19953417,-36.89240186332798
3521138.7942155576,-22.049597244680292
2624085.3064050423,-16.42655181562466
2212681.229451997,-13.84569816332312
1369165.6135253941,-8.558023209241568
1271770.3995705,-7.9441753011748055
1256004.8230787988,-7.841669538857757
1494502.1837267906,-9.331910723631582
490433.45637974096,-3.0385033535811092
215197.4914663127,-1.3106302700640515
-366197.14384551474,2.3350735955875805
-736427.6337423787,4.658008788273104
-553998.7652380972,3.518990320795351
-998314.7354591491,6.30600975610599
-1239796.922499051,7.822443346059321
-1407591.282363474,8.877283661382053
-1576725.6850782088,9.940518236532098
-1415030.137059511,8.931376869027932
-1522641.6340949233,9.609221338568268
-1588486.8596927186,10.025434671176189
