,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
sex,0.12441424159642332,0.025746911214774185,0.02077736709769012,0.0699814996033504,-0.21660552419703155,0.06296182179803093,0.06284934648779236,0.16932602636218294,0.34732009759723204,0.30028340841581774,0.039867712304715294,0.18736167606182294,0.07595281393689168,0.09872864537562462,0.08073663653513143,0.0007785085777617386,-0.10085813736795544,-0.15958874738090764,-0.0359034025964101
temp_vsorres,-0.1710157595037364,0.0949007420289893,-0.09398475708282876,-0.18388832403054484,0.042868125413366626,-0.15983984062823664,0.1351913821428668,-0.07988660820361017,0.1822038127007364,0.001866462907545036,0.13082870969054047,0.21742505386397643,0.22601404015093762,-0.11463139130109348,0.22477245983502717,0.15921970281882566,-0.012062126705859388,-0.15854712635953047,0.19495874478706066
hr_vsorres,0.055007570611088394,0.06856224052217925,-0.019744138374819354,0.04365433315618018,0.02069481760522506,-0.22941383722992456,0.22267235740465238,0.2203533029749177,-0.1401114243896549,0.12149387582841384,0.17035309619092345,0.19554633001696164,0.23212889311714052,-0.08114366664906016,0.15428744852250453,0.2019020531914369,-0.17743257519653857,-0.2073884191176218,0.171196999932032
rr_vsorres,-0.08678950257820064,-0.039435762323274226,0.061674117883754064,0.1685111492113234,-0.022454352099976316,-0.12334504170212662,0.22552496994978302,0.2701947068186842,-0.1139282211506934,-0.0760192797035522,0.14756425252295818,0.21302495863209078,0.34804391006300517,-0.13261932731322462,0.19578441683786124,0.16573582752169227,-0.07040582000269173,-0.10166152367808105,0.15973871068124723
sysbp_vsorres,-0.20544164879923799,-0.0011306882484765485,-0.02557401724823062,-0.1428839741931281,0.039054445437803884,0.029586847887870027,-0.04373300667041366,-0.22281429346114728,-0.03467334734125411,-0.021445077915831653,-0.05444615804683003,-0.09626891630265223,-0.0766814254433903,-0.049229734539107846,-0.07829289535314073,0.06216639860846453,0.04821428949411379,0.06658043028716412,0.04667358179309401
admission_diabp_vsorres,-0.14414894754103003,0.09372618719280676,-0.10124353198085158,-0.2451729585209185,0.030063624524441186,-0.09296595611452343,0.07808598163752767,-0.20267767863549213,0.02576749150486892,0.005730101546160718,0.0611906510250911,-0.057676416885382664,0.09165555402576055,-0.11355880776000395,-0.012904934895931084,0.16113848713377635,-0.08509541376696476,-0.04059639036937734,0.10503227762160874
chrincard,0.011343567596078701,-0.6953518798850745,0.34672238040757464,0.3940400225301345,-0.013833085916989977,0.949235712923163,-0.22909137917954206,0.09867258748825053,-0.1264258325990555,0.047465487282531874,-0.23239001030381712,-0.24772954704083056,-0.3385838736438434,0.16086828644038456,-0.25870850810144114,-0.3586668738340379,0.47754579761485844,0.16257419123548242,-0.11030851764127664
chronicpul_mhyn,-0.46510922675265515,-0.46510922675264715,2.150032599830169,0.6036195169639058,0.19661035185528775,-0.46510922675264904,-0.2973092455276276,0.037337925607749706,-0.11642364987493997,-0.10348987285934505,-0.20756078359527297,-0.18720587188417545,-0.2989296457992258,0.18443163050409084,-0.2415349255162941,-0.2958283021513327,0.24800458038665094,-0.4651092267526508,0.013405897032533294
asthma_mhyn,-0.39711853392380125,-0.3971185339237951,-0.39711853392379615,0.9441980720502362,2.518139836283465,-0.3971185339237963,0.08055378387630507,-0.08433284850717147,-0.008417417896162066,-0.028145556628280527,-0.01566605964750468,0.023886080847278942,-0.06074256813065145,-0.08995388218893506,-0.042151841178353376,-0.06005410684654943,0.11197735456135055,-0.3971185339237984,0.27569449017536546
renal_mhyn,0.06899960002314605,-0.4646907368970159,0.0889371548538315,1.1135546026671626,-0.10489978867853422,0.5899839329011731,-0.10614482661687999,0.3915638800606238,0.23308515828714363,0.7376572559145668,-0.14934276928025714,-0.19375595470698279,-0.16714415951915623,0.1623983639627187,-0.10540845926009593,-0.059352912396224804,1.274276941794581,0.129594349526354,-0.4646907368970138
