,0
sex,-1.1907214614975257e-15
age,-8.704302071264059e-16
hr_vsorres,9.471647989184864e-16
rr_vsorres,6.487722795599557e-16
chronicpul_mhyn,9.647906100261799e-16
asthma_mhyn,5.604651855254502e-15
chrincard,3.818925740000288e-16
sf94,-1.2765360165875088e-15
