BIC,Likelihood
1812312.676779745,-11.351508265639382
694783.7922811576,-4.349912328049064
-224145.63359586374,1.4076223044537048
-838256.0869697564,5.255718253791258
-839690.7105775696,5.265907002048371
-1608983.0585320313,10.086089137510587
-1610494.82771063,10.096761138945423
-1672874.9998924572,10.488723328200383
-1828693.9817643748,11.466002357368708
-1929942.0873316622,12.101439993481307
-2118134.4483993477,13.28151146051385
-2017476.4658000963,12.65217449304498
-2037168.53167639,12.776731012562571
-2225694.2175902254,13.958890483993503
-2225549.685739128,13.95918712975052
-2232460.8573039123,14.003681920159067
-2236971.734463846,14.033140851907081
-2396618.186221494,15.034395813408125
-2377554.1848472003,14.916177634855163
-2464246.242067373,15.46043367042707
